# R[Mpc/h], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 2.423970413118626405e-02 1.302296936732874259e-12 1.935458955909691015e-15 1.304232395688783882e-12
5.756976996632233792e-03 2.790948381768213263e-02 1.218130848027745214e-12 1.934841011758649737e-15 1.220065689039503890e-12
6.628556827950546522e-03 3.213485126525515712e-02 1.135413698096263228e-12 1.934004226641822575e-15 1.137347702322904995e-12
7.632089835876165913e-03 3.699991990485444054e-02 1.054112331194266456e-12 1.932837273533437925e-15 1.056045168467799909e-12
8.787553124273954006e-03 4.260153755389643054e-02 9.742392404329403775e-13 1.930037151753574113e-15 9.761692775846939007e-13
1.011794823862578740e-02 4.905121434378926365e-02 8.958585572868924620e-13 1.929664129539535508e-15 8.977882214164319881e-13
1.164975905257685865e-02 5.647734252681437667e-02 8.190912533685456335e-13 1.924671713373718142e-15 8.210159250819193955e-13
1.341347897639862813e-02 6.502775235155799916e-02 7.441188018857994113e-13 1.924126076600331635e-15 7.460429279623997315e-13
1.544421798238740720e-02 7.487265488612344921e-02 6.711843909782591166e-13 1.919259302216377761e-15 6.731036502804755354e-13
1.778240153111564081e-02 8.620803037123936363e-02 6.005906845007483762e-13 1.917391724228110517e-15 6.025080762249764583e-13
2.047457531190212399e-02 9.925952955443964609e-02 5.326931395303169529e-13 1.910523687770056530e-15 5.346036632180870391e-13
2.357433181728696772e-02 1.142869656682893587e-01 4.678880713471982213e-13 1.906256451882671164e-15 4.697943277990808774e-13
2.714337719661929355e-02 1.315894864734479530e-01 4.065950559011897172e-13 1.896069027864956874e-15 4.084911249290546741e-13
3.125275962636985677e-02 1.515115293252577433e-01 3.492338992982813373e-13 1.889494102447672404e-15 3.511233934007290069e-13
3.598428365005760382e-02 1.744496778100159406e-01 2.961972543861331931e-13 1.878950322282434760e-15 2.980762047084156519e-13
4.143213864273420644e-02 2.008605564444332914e-01 2.478209243875857233e-13 1.866137095149006081e-15 2.496870614827347468e-13
4.770477381749969187e-02 2.312699205962707449e-01 2.043547829227324361e-13 1.864462745488273964e-15 2.062192456682207045e-13
5.492705709937791003e-02 2.662831225771389310e-01 1.659378225585229353e-13 1.833460440334873759e-15 1.677712829988578087e-13
6.324276084276478360e-02 3.065971622535981211e-01 1.325808834528529362e-13 1.812528806787365253e-15 1.343934122596403141e-13
7.281742387506216774e-02 3.530145620653372118e-01 1.041599540904248695e-13 1.788869540164955845e-15 1.059488236305898198e-13
8.384164684055039896e-02 4.064593426572699064e-01 8.042158516814273409e-14 1.761182184951627794e-15 8.218276735309436543e-14
9.653488644416247100e-02 4.679954171488324155e-01 6.100013015052693605e-14 1.730510789416497186e-15 6.273064093994343186e-14
1.111498241263097070e-01 5.388477702110272549e-01 4.544461559924436164e-14 1.695278039690070322e-15 4.713989363893443374e-14
