# R[Mpc], R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
4.999999999999999237e-03 1.362004428632677261e-02 1.830135268240614596e-11 1.455720583380097452e-14 1.831590988823994617e-11
5.838993118688259529e-03 1.590546897281827632e-02 1.720691280407790292e-11 1.455025684269043819e-14 1.722146306092059289e-11
6.818768128017769353e-03 1.857438477635910828e-02 1.613787223604485224e-11 1.454312886147160614e-14 1.615241536490632505e-11
7.962948035485325690e-03 2.169114097860578433e-02 1.509182258074866542e-11 1.453696692861828073e-14 1.510635954767728371e-11
9.299119756734202866e-03 2.533088458211522204e-02 1.406669892487050061e-11 1.453214830559449149e-14 1.408123107317609460e-11
1.085949925388581157e-02 2.958137215305146200e-02 1.306086574197399923e-11 1.448324300384706489e-14 1.307534898497784618e-11
1.268170828316790913e-02 3.454508568860480133e-02 1.207321679377942801e-11 1.447535806046764755e-14 1.208769215183989625e-11
1.480968147972586656e-02 4.034170352405194726e-02 1.110328656784840209e-11 1.442871558680996394e-14 1.111771528343521277e-11
1.729472565001686016e-02 4.711098585462025062e-02 1.015136812725057015e-11 1.437909825316012710e-14 1.016574722550373077e-11
2.019675681200996942e-02 5.501614444394954673e-02 9.218628719307492406e-12 1.433445418865790629e-14 9.232963173496150593e-12
2.358574480902929024e-02 6.424777776499615567e-02 8.307210192903737296e-12 1.424047439375954309e-14 8.321450667297497533e-12
2.754340032781188788e-02 7.502846645216505739e-02 7.420296579116113169e-12 1.413442735336856868e-14 7.434431006469482191e-12
3.216514499587391773e-02 8.761813986398495069e-02 6.562126871464099587e-12 1.402149594816171773e-14 6.576148367412261210e-12
3.756241205850358728e-02 1.023203431476147479e-01 5.737928369593590974e-12 1.388168366547111613e-14 5.751810053259062466e-12
4.386533310618707243e-02 1.194895559081487896e-01 4.953746674102831415e-12 1.372247895732080973e-14 4.967469153060152607e-12
5.122587563119895132e-02 1.395397389405594324e-01 4.216154537738794842e-12 1.352738680135237944e-14 4.229681924540147465e-12
5.982150706187026185e-02 1.629543150914965766e-01 3.531834976662778385e-12 1.329685136921198757e-14 3.545131828031990251e-12
6.985947361676432543e-02 1.902978248959613927e-01 2.907054798303163133e-12 1.302592015124146041e-14 2.920080718454404529e-12
