# R/R200c, Pth1h, Pth2h, (Pth1h+Pth2h) 
# Pth in [g cm^-1 s^-2]
1.000000000000000056e-01 5.465609285290475947e-12 1.000428553610552143e-14 5.475613570826581766e-12
1.098541141987558339e-01 5.007627466755251219e-12 9.916492307497377350e-15 5.017543959062748213e-12
1.206792640639328534e-01 4.564890740390726005e-12 9.818547066279797351e-15 4.574709287457005990e-12
1.325711365590109270e-01 4.138834059748082353e-12 9.709429753534266192e-15 4.148543489501616741e-12
1.456348477501243632e-01 3.730899400372548176e-12 9.588319679450692121e-15 3.740487720051998889e-12
1.599858719606058188e-01 3.342494171052199964e-12 9.454531732413778593e-15 3.351948702784613591e-12
1.757510624854791981e-01 2.974945480347956288e-12 9.308457744601514219e-15 2.984253938092557963e-12
1.930697728883249975e-01 2.629451952073669684e-12 9.147984780885104230e-15 2.638599936854554815e-12
2.120950887920190486e-01 2.307035281991410439e-12 8.973591681741871570e-15 2.316008873673152316e-12
2.329951810515371868e-01 2.008494140818422862e-12 8.787587178839090391e-15 2.017281727997262140e-12
2.559547922699536016e-01 1.734363288633684727e-12 8.583363495201337093e-15 1.742946652128886071e-12
2.811768697974230125e-01 1.484880808512898060e-12 8.365444563159256655e-15 1.493246253076057284e-12
3.088843596477480746e-01 1.259966142230377659e-12 8.133591589182573857e-15 1.268099733819560302e-12
3.393221771895327810e-01 1.059211093697706991e-12 7.891873695883148235e-15 1.067102967393590064e-12
3.727593720314940073e-01 8.818851685755562012e-13 7.635981990286759144e-15 8.895211505658429225e-13
4.094915062380424242e-01 7.269555959555115514e-13 7.366937867317820999e-15 7.343225338228293692e-13
4.498432668969445380e-01 5.931212266035930164e-13 7.086955277953215530e-15 6.002081818815462225e-13
4.941713361323834541e-01 4.788583505764545130e-13 6.799786015442383656e-15 4.856581365918968572e-13
5.428675439323858987e-01 3.824754680575575989e-13 6.502114083587424164e-15 3.889775821411450310e-13
5.963623316594642843e-01 3.021733150484446212e-13 6.198246324886617772e-15 3.083715613733312563e-13
6.551285568595507369e-01 2.361060907769116444e-13 5.894326515200427773e-15 2.420004172921120612e-13
7.196856730011519376e-01 1.824399038494240684e-13 5.581498233668721491e-15 1.880214020830927796e-13
7.906043210907697238e-01 1.394049333600850451e-13 5.271481868727337681e-15 1.446764152288123907e-13
8.685113737513524557e-01 1.053386123823597003e-13 4.965174466937572706e-15 1.103037868492972754e-13
9.540954763499939206e-01 7.871816120652362187e-14 4.655116343650414068e-15 8.337327755017403594e-14
1.048113134154685877e+00 5.818188045729605322e-14 4.352782823610876673e-15 6.253466328090693068e-14
1.151395399326446967e+00 4.253961834120537029e-14 4.055247683294314102e-15 4.659486602449968597e-14
1.264855216855295783e+00 3.077363852545463150e-14 3.770261748240927285e-15 3.454390027369555800e-14
1.389495494373137463e+00 2.203166632022199333e-14 3.484516682895335152e-15 2.551618300311732967e-14
1.526417967175233370e+00 1.561416069724486972e-14 3.219601626066220256e-15 1.883376232331109037e-14
1.676832936811007313e+00 1.095787177643783033e-14 2.959460592939075704e-15 1.391733236937690525e-14
1.842069969326715295e+00 7.617552533899002252e-15 2.713359559254775781e-15 1.033091209315377764e-14
2.023589647725156482e+00 5.247369920481523776e-15 2.482909293072726900e-15 7.730279213554251465e-15
2.222996482526194306e+00 3.583175210718704402e-15 2.256855838508672376e-15 5.840031049227376383e-15
2.442053094548651160e+00 2.426406461301231748e-15 2.048010751744242642e-15 4.474417213045474390e-15
2.682695795279724571e+00 1.630050763432694301e-15 1.855254595727096926e-15 3.485305359159791226e-15
2.947051702551809704e+00 1.086815429475675328e-15 1.669596988649490545e-15 2.756412418125166070e-15
3.237457542817643308e+00 7.194539581734092018e-16 1.500990668527777132e-15 2.220444626701186235e-15
3.556480306223128718e+00 4.730609939352404736e-16 1.346997077351327853e-15 1.820058071286568425e-15
3.906939937054614731e+00 3.090794741442886365e-16 1.197018881427864742e-15 1.506098355572153379e-15
4.291934260128775769e+00 2.007384128481331417e-16 1.064277493296116718e-15 1.265015906144249785e-15
4.714866363457391962e+00 1.296468513364558483e-16 9.451872345551725634e-16 1.074834085891628387e-15
5.179474679231209855e+00 8.329581134253610327e-17 8.318005992064721123e-16 9.150964105490082156e-16
5.689866029018295635e+00 5.325576402511161083e-17 7.303539133298961784e-16 7.836096773550077461e-16
6.250551925273970078e+00 3.389522033205521850e-17 6.410521237507057800e-16 6.749473440827609924e-16
6.866488450042997904e+00 2.148216333479186477e-17 5.557490511487456415e-16 5.772312144835374908e-16
7.543120063354614935e+00 1.356180815985239539e-17 4.811344888372046987e-16 4.946962969970571033e-16
8.286427728546842175e+00 8.530655623769426953e-18 4.174225942479558375e-16 4.259532498717252567e-16
9.102981779915218397e+00 5.347989243675953860e-18 3.556748777231291872e-16 3.610228669668051411e-16
1.000000000000000000e+01 3.342357846373590891e-18 3.019680797719200037e-16 3.053104376182935831e-16
