# R[Mpc/h], R/R200c, rho1h, rho2h, (rho1h+rho2h) 
# rho in [g/cm3]
4.999999999999999237e-03 1.189596853301493062e-02 1.362666820032563463e-26 2.274295513525005027e-29 1.364941115546088356e-26
5.756976996632233792e-03 1.369696343944557318e-02 1.306285296466499128e-26 2.273815795584720463e-29 1.308559112262083801e-26
6.628556827950546522e-03 1.577062068892019428e-02 1.249721997502968707e-26 2.273264498711119348e-29 1.251995262001679767e-26
7.632089835876165913e-03 1.815822010574519307e-02 1.192876718010741195e-26 2.272662414059486959e-29 1.195149380424800658e-26
8.787553124273954006e-03 2.090729108971200317e-02 1.135661883093240135e-26 2.271708154137364394e-29 1.137933591247377495e-26
1.011794823862578740e-02 2.407255877307324515e-02 1.078007421919032587e-26 2.270502087695259987e-29 1.080277924006727783e-26
1.164975905257685865e-02 2.771703342133203379e-02 1.019866483395361847e-26 2.268885707333465224e-29 1.022135369102695261e-26
1.341347897639862813e-02 3.191326476429908604e-02 9.612219420389518677e-27 2.266967734648305270e-29 9.634889097736002251e-27
1.544421798238740720e-02 3.674478622710079107e-02 9.020935463973911052e-27 2.265486946504069810e-29 9.043590333438952271e-27
1.778240153111564081e-02 4.230777781111764307e-02 8.425454333476832138e-27 2.262427244908616136e-29 8.448078605925918709e-27
2.047457531190212399e-02 4.871298072744641161e-02 7.826935698009489575e-27 2.258109327253763748e-29 7.849516791282026680e-27
2.357433181728696772e-02 5.608790189705969986e-02 7.227124956153984404e-27 2.253760335987751187e-29 7.249662559513861913e-27
2.714337719661929355e-02 6.457935220214763850e-02 6.628405445365671528e-27 2.247905342940333451e-29 6.650884498795074874e-27
3.125275962636985677e-02 7.435636901703507329e-02 6.033825432498462493e-27 2.240682499684963477e-29 6.056232257495312378e-27
3.598428365005760382e-02 8.561358119683379342e-02 5.447088759692419344e-27 2.231716975152220284e-29 5.469405929443941743e-27
4.143213864273420644e-02 9.857508350989561963e-02 4.872498096487232361e-27 2.221153182342210411e-29 4.894709628310654168e-27
4.770477381749969187e-02 1.134988976415141904e-01 4.314841641557847872e-27 2.208248301232475135e-29 4.336924124570172657e-27
5.492705709937791003e-02 1.306821085730628107e-01 3.779218343205860940e-27 2.192872535342405000e-29 3.801147068559284805e-27
6.324276084276478360e-02 1.504667785853037454e-01 3.270803474029119123e-27 2.174434231133594903e-29 3.292547816340455276e-27
7.281742387506216774e-02 1.732467566145899640e-01 2.794565352836328611e-27 2.153254783506154101e-29 2.816097900671390169e-27
8.384164684055039896e-02 1.994755185142676746e-01 2.354954053419082829e-27 2.127412421857459749e-29 2.376228177637657359e-27
9.653488644416247100e-02 2.296751942955853054e-01 1.955592191006022073e-27 2.098667391927307189e-29 1.976578864925295288e-27
1.111498241263097070e-01 2.644469620513448249e-01 1.599003922563724165e-27 2.066327011038148541e-29 1.619667192674105504e-27
1.279773961349767730e-01 3.044830154717740878e-01 1.286418783983899067e-27 2.026921951732507002e-29 1.306688003501224215e-27
1.473525851275904741e-01 3.505803431872440701e-01 1.017680435371447053e-27 1.984470385613513763e-29 1.037525139227582199e-27
1.696610885947663627e-01 4.036565942400798801e-01 7.912769635305725146e-28 1.938594895621039672e-29 8.106629124867829674e-28
1.953469968527308254e-01 4.647683455158105881e-01 6.044912854491074812e-28 1.885607019275493138e-29 6.233473556418624154e-28
2.249216334484722968e-01 5.351321347794690819e-01 4.536512809194367502e-28 1.832843550094396639e-29 4.719797164203806998e-28
2.589737339615604816e-01 6.161486780168208277e-01 3.344440523733121865e-28 1.765517728061053410e-29 3.520992296539227066e-28
2.981811658297320866e-01 7.094307531696401048e-01 2.422508320748079650e-28 1.695978338512626534e-29 2.592106154599342304e-28
3.433244225021500617e-01 8.168353053402201969e-01 1.724601202375179332e-28 1.624834518329767820e-29 1.887084654208156171e-28
3.953021605453848064e-01 9.405004125761429190e-01 1.207256677860027522e-28 1.547754446312142612e-29 1.362032122491241839e-28
4.551490889957608421e-01 1.082887848104796769e+00 8.314986060532621712e-29 1.465775840113665612e-29 9.780761900646287605e-29
5.240565670773426055e-01 1.246832086294379360e+00 5.638798548306767798e-29 1.382716407651824242e-29 7.021514955958591760e-29
6.033963203196643921e-01 1.435596727891945257e+00 3.768129806352676961e-29 1.296358386686181860e-29 5.064488193038858260e-29
6.947477471865686205e-01 1.652939467782886807e+00 2.483471345876791556e-29 1.207032961475073630e-29 3.690504307351865046e-29
7.999293598030285946e-01 1.903186898570321528e+00 1.615790231427765182e-29 1.117546866114116475e-29 2.733337097541881797e-29
9.210349846633580917e-01 2.191320639072239729e+00 1.038750259390309240e-29 1.028283805499110583e-29 2.067034064889419683e-29
1.060475443960094966e+00 2.523076502276865973e+00 6.604597598130192713e-30 9.395846099014008849e-30 1.600044369714420156e-29
1.221026547274324692e+00 2.905058676870247325e+00 4.157124200533649273e-30 8.531505645467910338e-30 1.268862984600155891e-29
1.405884348987115340e+00 3.344871195321781343e+00 2.592633695521369689e-30 7.682768570305874850e-30 1.027540226582724524e-29
1.618728771408821432e+00 3.851269305633052475e+00 1.603481877633077738e-30 6.884883095110073402e-30 8.488364972743150790e-30
1.863796860157468815e+00 4.434333760073056574e+00 9.842708326368882508e-31 6.110084627553063427e-30 7.094355460189951152e-30
2.145967130064388773e+00 5.105671490426066050e+00 6.000994460296187093e-31 5.389207612050169380e-30 5.989307058079788089e-30
2.470856680661916105e+00 5.878646664548775824e+00 3.636607503391288808e-31 4.707109061417009352e-30 5.070769811756138364e-30
2.844933014509146041e+00 6.768646723827223433e+00 2.191878333981444937e-31 4.088219112292651948e-30 4.307406945690796398e-30
3.275642784297754240e+00 7.793388697480700955e+00 1.314744342856339326e-31 3.513219292075771755e-30 3.644693726361405425e-30
3.771560031677307023e+00 8.973271891442008652e+00 7.852456967211383202e-32 2.996832407854519795e-30 3.075356977526633726e-30
4.342556868756759947e+00 1.033178397271165494e+01 4.672198137043783552e-32 2.528286851111474360e-30 2.575008832481912026e-30
5.000000000000000888e+00 1.189596853301493518e+01 2.770634266756019402e-32 2.120223820093400469e-30 2.147930162760960680e-30
