# R/R200c, rho1h, rho2h, (rho1h+rho2h) 
# rho in [g/cm3]
1.000000000000000056e-01 3.742143235540906439e-27 1.146159359108599263e-29 3.753604829131992418e-27
1.098541141987558339e-01 3.457531482569270230e-27 1.131094672410184104e-29 3.468842429293372169e-27
1.206792640639328534e-01 3.178975496993628403e-27 1.114973589893188615e-29 3.190125232892560388e-27
1.325711365590109270e-01 2.907720876890282293e-27 1.096906277235116086e-29 2.918689939662633312e-27
1.456348477501243632e-01 2.645029861361575023e-27 1.078083617127211734e-29 2.655810697532847054e-27
1.599858719606058188e-01 2.392149613350198597e-27 1.058991959661977973e-29 2.402739532946818381e-27
1.757510624854791981e-01 2.150277496582039240e-27 1.037494851130178502e-29 2.160652445093341038e-27
1.930697728883249975e-01 1.920524760204993986e-27 1.015143968028097596e-29 1.930676199885274997e-27
2.120950887920190486e-01 1.703880377708460899e-27 9.908340939502128695e-30 1.713788718647963095e-27
2.329951810515371868e-01 1.501177023301495000e-27 9.663538128190773611e-30 1.510840561429685774e-27
2.559547922699536016e-01 1.313061264271776615e-27 9.400713961329319908e-30 1.322461978233105996e-27
2.811768697974230125e-01 1.139969966662643789e-27 9.125910123907274516e-30 1.149095876786551101e-27
3.088843596477480746e-01 9.821146359187844771e-28 8.835872083554855589e-30 9.909505080023393902e-28
3.393221771895327810e-01 8.394749496252988472e-28 8.550958384677975318e-30 8.480259080099768883e-28
3.727593720314940073e-01 7.118021185743185641e-28 8.252910090748778436e-30 7.200550286650673089e-28
4.094915062380424242e-01 5.986319930862417099e-28 7.941983082375460985e-30 6.065739761686171709e-28
4.498432668969445380e-01 4.993070908210371501e-28 7.619170976456214836e-30 5.069262617974933734e-28
4.941713361323834541e-01 4.130060455396121707e-28 7.300076484395157721e-30 4.203061220240073452e-28
5.428675439323858987e-01 3.387784435646433109e-28 6.968791403763833061e-30 3.457472349684071538e-28
5.963623316594642843e-01 2.755826877035036849e-28 6.638855562326205056e-30 2.822215432658298703e-28
6.551285568595507369e-01 2.223244399509187427e-28 6.310660197201289345e-30 2.286351001481200335e-28
7.196856730011519376e-01 1.778933433329026764e-28 5.977950197522180326e-30 1.838712935304248588e-28
7.906043210907697238e-01 1.411960762485722561e-28 5.646915704957687233e-30 1.468429919535299517e-28
8.685113737513524557e-01 1.111842909310311803e-28 5.325095674043003526e-30 1.165093866050741747e-28
9.540954763499939206e-01 8.687655878771835414e-29 4.999341104730334886e-30 9.187589989244868692e-29
1.048113134154685877e+00 6.737401609734837785e-29 4.683497338710411995e-30 7.205751343605879335e-29
1.151395399326446967e+00 5.186991105569715208e-29 4.378464139353382802e-30 5.624837519505053629e-29
1.264855216855295783e+00 3.965365312599240676e-29 4.073950544442398971e-30 4.372760367043480363e-29
1.389495494373137463e+00 3.011023553116068217e-29 3.768727076475968042e-30 3.387896260763664811e-29
1.526417967175233370e+00 2.271603984621816800e-29 3.501999181768841896e-30 2.621803902798700780e-29
1.676832936811007313e+00 1.703205293442877043e-29 3.228090005790055230e-30 2.026014294021882496e-29
1.842069969326715295e+00 1.269545645621353933e-29 2.970142913148483664e-30 1.566559936936202335e-29
2.023589647725156482e+00 9.410417805763102656e-30 2.723844838917607667e-30 1.213426264468070997e-29
2.222996482526194306e+00 6.938747694839941281e-30 2.485411451713527961e-30 9.424159146553469942e-30
2.442053094548651160e+00 5.090918325412311758e-30 2.264550324228062807e-30 7.355468649640375265e-30
2.682695795279724571e+00 3.717775431610522933e-30 2.056858765635910190e-30 5.774634197246432772e-30
2.947051702551809704e+00 2.703138965499608836e-30 1.856720546607547279e-30 4.559859512107155764e-30
3.237457542817643308e+00 1.957376388611285488e-30 1.674977443737480308e-30 3.632353832348765795e-30
3.556480306223128718e+00 1.411950268114033326e-30 1.504741991268082935e-30 2.916692259382116261e-30
3.906939937054614731e+00 1.014885835862839192e-30 1.342365832530863940e-30 2.357251668393702957e-30
4.291934260128775769e+00 7.270702268216949334e-31 1.194124219602155754e-30 1.921194446423850862e-30
4.714866363457391962e+00 5.192784613316041286e-31 1.062156893349341879e-30 1.581435354680946007e-30
5.179474679231209855e+00 3.698171590611078370e-31 9.361228446154594153e-31 1.305940003676567340e-30
5.689866029018295635e+00 2.626813213793753857e-31 8.230583495136053620e-31 1.085739670892980748e-30
6.250551925273970078e+00 1.861289265854436884e-31 7.234935231509464220e-31 9.096224497363901105e-31
6.866488450042997904e+00 1.315900055164021709e-31 6.277935875769589534e-31 7.593835930933611024e-31
7.543120063354614935e+00 9.283951363379537427e-32 5.432914380324822351e-31 6.361309516662776422e-31
8.286427728546842175e+00 6.537552812770903175e-32 4.720453632087439638e-31 5.374208913364529627e-31
9.102981779915218397e+00 4.595539978264529040e-32 4.022880973595590811e-31 4.482434971422043989e-31
1.000000000000000000e+01 3.225215648674216524e-32 3.419727967596325338e-31 3.742249532463746990e-31
