# R[Mpc], R/R200c, rho1h, rho2h, (rho1h+rho2h) 
# rho in [g/cm3]
4.999999999999999237e-03 3.697048814960818969e-02 5.365770552827974335e-27 1.156347927158999501e-29 5.377334032099564556e-27
5.838993118688259529e-03 4.317408518002162354e-02 5.059774597701078245e-27 1.156086411576611451e-29 5.071335461816844711e-27
6.818768128017769353e-03 5.041863725436140226e-02 4.747655275533497365e-27 1.158351596926974918e-29 4.759238791502766972e-27
7.962948035485325690e-03 5.887881519637121891e-02 4.429170136252874281e-27 1.155465759425669563e-29 4.440724793847131272e-27
9.299119756734202866e-03 6.875859935362586828e-02 4.104501857467660410e-27 1.155794288819982342e-29 4.116059800355860172e-27
1.085949925388581157e-02 8.029619769529289242e-02 3.774373190094314544e-27 1.153372338153291336e-29 3.785906913475847615e-27
1.268170828316790913e-02 9.376978915992946473e-02 3.440157336280796553e-27 1.153185409426721823e-29 3.451689190375063530e-27
1.480968147972586656e-02 1.095042307291354267e-01 3.103966690295183895e-27 1.151368454007317507e-29 3.115480374835257019e-27
1.729472565001686016e-02 1.278788899389346478e-01 2.768697668171605866e-27 1.149047333134547385e-29 2.780188141502951395e-27
2.019675681200996942e-02 1.493367916757866454e-01 2.438006429576165295e-27 1.145752773382763549e-29 2.449463957309993105e-27
2.358574480902929024e-02 1.743952997923800818e-01 2.116192111257333397e-27 1.142257147322692942e-29 2.127614682730560402e-27
2.754340032781188788e-02 2.036585910838567826e-01 1.807973147782302894e-27 1.137600342383433049e-29 1.819349151206137342e-27
3.216514499587391773e-02 2.378322223800772017e-01 1.518159509943535181e-27 1.131981106683551290e-29 1.529479321010370609e-27
3.756241205850358728e-02 2.777401419759213952e-01 1.251247691053172806e-27 1.125576591459216655e-29 1.262503456967764887e-27
4.386533310618707243e-02 3.243445555561810800e-01 1.010990758333204508e-27 1.117474266972766490e-29 1.022165501002932150e-27
5.122587563119895132e-02 3.787691255953088421e-01 8.000143217780916366e-28 1.107594851298739021e-29 8.110902702910789400e-28
5.982150706187026185e-02 4.423260635845155386e-01 6.195519553201691801e-28 1.095627934624044383e-29 6.305082346664096323e-28
6.985947361676432543e-02 5.165477682972904327e-01 4.693554086610035783e-28 1.081592557897780819e-29 4.801713342399813907e-28
8.158179714469422639e-02 6.032237729123315351e-01 3.477985088952834222e-28 1.065802138229067845e-29 3.584565302775741203e-28
9.527111042761822468e-02 7.044438918128547167e-01 2.521497526781926557e-28 1.045632532176110734e-29 2.626060779999537546e-28
1.112574716393304325e-01 8.226486073594471149e-01 1.789520943164923281e-28 1.023704539386654454e-29 1.891891397103588782e-28
1.299263222609410018e-01 9.606879114940589659e-01 1.244314386551359807e-28 9.983909785755696451e-30 1.344153484408916883e-28
1.517277803236215528e-01 1.121890020884161343e+00 8.486158405801100305e-29 9.703347730754277366e-30 9.456493178876528182e-29
1.771874930446940555e-01 1.310141622373529380e+00 5.683724047307439645e-29 9.387697295784600459e-30 6.622493776885899270e-29
2.069193105211186157e-01 1.529981583509222975e+00 3.743722173416561489e-29 9.042728948921237525e-30 4.647995068308685101e-29
2.416400860513061855e-01 1.786710387566023961e+00 2.428626066407857558e-29 8.671055690786325374e-30 3.295731635486490236e-29
2.821869599305631415e-01 2.086517931617369648e+00 1.553992219406560188e-29 8.263666675025812448e-30 2.380358886909141573e-29
3.295375434436236262e-01 2.436632768946696892e+00 9.822025064320760067e-30 7.834754476421542997e-30 1.765677954074230166e-29
3.848334897033505730e-01 2.845496394130018203e+00 6.140778255408319072e-30 7.383308458362892514e-30 1.352408671377121089e-29
4.494080196437306718e-01 3.322966772915486366e+00 3.802636366377949121e-30 6.910102957096516740e-30 1.071273932347446516e-29
5.248180668366125845e-01 3.880556024136653459e+00 2.335123407481075861e-30 6.424580419175965969e-30 8.759703826657041480e-30
6.128818161644512541e-01 4.531707984323638527e+00 1.423558904783972511e-30 5.933376413889530601e-30 7.356935318673503812e-30
7.157225414306788158e-01 5.292122347274074379e+00 8.624020908145295656e-31 5.437888934672757260e-30 6.300291025487286825e-30
8.358197988607614093e-01 6.180133193797937352e+00 5.196289756079017294e-31 4.946200707014778439e-30 5.465829682622679993e-30
9.760692108022782643e-01 7.217151038232611171e+00 3.116457222925581883e-31 4.463265926637551233e-30 4.774911648930109421e-30
1.139852281047596616e+00 8.428179049754808361e+00 1.861684547306703640e-31 3.991771774359130842e-30 4.177940229089801052e-30
1.331117925071608088e+00 9.842415894918188357e+00 1.108364233508140614e-31 3.549179550164427680e-30 3.660015973515241501e-30
1.554477680931142913e+00 1.149395973633905044e+01 6.579761506135894473e-32 3.124709989922272445e-30 3.190507604983631412e-30
1.815316896422285664e+00 1.342263036139272891e+01 3.896530093365577819e-32 2.727741088129094852e-30 2.766706389062750565e-30
2.119924573289651004e+00 1.567492926297365052e+01 2.302756760204001241e-32 2.363263990441244963e-30 2.386291558043284890e-30
2.475644999115283795e+00 1.830516082048567839e+01 1.358496479407348861e-32 2.024393319229315337e-30 2.037978284023388768e-30
2.891054822829829174e+00 2.137674161345956492e+01 8.002526995424383821e-33 1.717615046105981152e-30 1.725617573101405459e-30
3.376169843250778957e+00 2.496372943619349627e+01 4.708190407693219063e-33 1.446665935251535084e-30 1.451374125659228318e-30
3.942686496452824318e+00 2.915260887894588038e+01 2.767094468992442097e-33 1.202071471651074680e-30 1.204838566120067202e-30
4.604263864386632932e+00 3.404437652719504825e+01 1.624833635356352193e-33 9.929547168872193953e-31 9.945795505225758241e-31
5.376853004155713656e+00 3.975697605446480765e+01 9.533876287827786069e-34 8.055732837246725640e-31 8.065266713534554288e-31
6.279081538292701659e+00 4.642814192037478449e+01 5.590583373397994283e-34 6.515013581765364163e-31 6.520604165138762095e-31
7.332702778754716100e+00 5.421872023731006607e+01 3.276536731507297268e-34 5.145423970914451376e-31 5.148700507645958591e-31
8.563120213307023221e+00 6.331654687394754433e+01 1.919463007373232608e-34 4.071641500685715910e-31 4.073560963693088870e-31
1.000000000000000000e+01 7.394097629921638770e+01 1.124040590049470469e-34 3.100111813219586421e-31 3.101235853809636100e-31
